Estación,Año,Mes,Temperatura max med,Temperatura min med,Temperatura  med,Humedad Relat,Precipitaciones,Nombres Estaciones,Latitud,Longitud,Región
78310,1999,2,27.0,18.3,22.6,73.0,3.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,3,29.4,19.4,23.4,74.0,18.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,4,31.4,22.3,25.9,74.0,11.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,5,30.9,23.1,26.7,76.0,88.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,6,30.3,23.6,26.7,83.0,223.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,7,31.1,23.8,27.3,81.0,136.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,8,31.2,24.7,27.8,80.0,95.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,9,30.8,24.7,27.5,82.0,129.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,10,29.4,23.8,26.4,80.0,148.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,11,27.3,21.6,24.6,72.0,12.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,12,26.8,19.9,23.1,73.0,54.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,1,26.3,18.5,22.3,73.0,6.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,2,27.1,19.1,22.9,73.0,1.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,3,28.4,20.8,24.4,74.0,31.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,4,28.5,20.8,24.8,76.0,43.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,5,31.0,23.0,26.8,75.0,27.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
